Actual Label,Predicted Label,Count,Percentage,Display Value
0,0,3989,39.89,3989 (39.89%)
0,1,2433,24.33,2433 (24.33%)
0,2,1314,13.14,1314 (13.14%)
0,3,1093,10.93,1093 (10.93%)
0,4,1171,11.71,1171 (11.71%)
1,0,1964,19.64,1964 (19.64%)
1,1,3076,30.76,3076 (30.76%)
1,2,2440,24.40,2440 (24.40%)
1,3,1280,12.80,1280 (12.80%)
1,4,1240,12.40,1240 (12.40%)
2,0,1357,13.57,1357 (13.57%)
2,1,1922,19.22,1922 (19.22%)
2,2,3365,33.65,3365 (33.65%)
2,3,2127,21.27,2127 (21.27%)
2,4,1229,12.29,1229 (12.29%)
3,0,1149,11.49,1149 (11.49%)
3,1,1197,11.97,1197 (11.97%)
3,2,1791,17.91,1791 (17.91%)
3,3,3565,35.65,3565 (35.65%)
3,4,2298,22.98,2298 (22.98%)
4,0,1104,11.04,1104 (11.04%)
4,1,862,8.62,862 (8.62%)
4,2,940,9.40,940 (9.40%)
4,3,2337,23.37,2337 (23.37%)
4,4,4757,47.57,4757 (47.57%)
