Actual Label,Predicted Label,Count,Percentage,Display Value
0,0,6506,65.07,6506 (65.07%)
0,1,2738,27.38,2738 (27.38%)
0,2,497,4.97,497 (4.97%)
0,3,121,1.21,121 (1.21%)
0,4,137,1.37,137 (1.37%)
1,0,2272,22.72,2272 (22.72%)
1,1,4313,43.13,4313 (43.13%)
1,2,2805,28.05,2805 (28.05%)
1,3,428,4.28,428 (4.28%)
1,4,182,1.82,182 (1.82%)
2,0,813,8.13,813 (8.13%)
2,1,1795,17.95,1795 (17.95%)
2,2,4719,47.19,4719 (47.19%)
2,3,2213,22.13,2213 (22.13%)
2,4,459,4.59,459 (4.59%)
3,0,375,3.75,375 (3.75%)
3,1,499,4.99,499 (4.99%)
3,2,1857,18.57,1857 (18.57%)
3,3,5040,50.40,5040 (50.40%)
3,4,2229,22.29,2229 (22.29%)
4,0,690,6.90,690 (6.90%)
4,1,201,2.01,201 (2.01%)
4,2,397,3.97,397 (3.97%)
4,3,2734,27.34,2734 (27.34%)
4,4,5978,59.78,5978 (59.78%)
