QUERY_PARAMETERIZED_HASH,QUERY_COUNT,MEAN_ELAPSED_TIME,STD_ELAPSED_TIME,MAX_ELAPSED_TIME,MIN_ELAPSED_TIME,AVG(BYTES_SCANNED)
60195202172a509209e3bfcd6c051555,20,392060.000000,6067.134761197,403346,385378,77737776000.000000
276f3998d3a6be4811ad1b22444357f8,20,206268.300000,3788.106541324,216090,199241,77784046290.950000
a76a78dd50859fe61f8f52791b4de47d,20,109807.450000,5471.091053269,119451,105608,29630379008.000000
6e740cb9d673f14bc6bc7b4d3a77b42d,20,98648.250000,6284.614352988,110586,93075,66998689504.000000
cabf0f16d7dbe3b1180729c8e9abc73f,20,91570.650000,2245.532389692,97299,88599,77890807751.650000
25b8b954703217e8d96757128a3ce6fb,20,54713.850000,2959.242955733,59793,52356,29631127348.100000
99da341f250de7717467cacde01614c5,20,51116.600000,3051.128529784,58426,47946,67038518018.950000
ab87f36304d072f3dea5c9e5163c3ca0,20,44841.800000,3947.858214806,54863,41149,77860858483.200000
9a2c9ab187511b024b5683f7c2089973,20,27690.300000,1464.690055232,30281,26314,29631022672.500000
4c2009bfb51310d0785985e83ab69f1a,20,25988.600000,2550.383178641,32722,23619,67019871896.850000
bf59b2ff73aa09a56c8634ce83f346c1,20,22400.000000,1396.76264796,26118,20283,7226596457.600000
8563c02a951c338742d05409300a03fe,20,14822.000000,1497.809734245,18402,13357,29758043673.600000
031c72ee9273ca91a8528ebcfba57538,20,14819.300000,2375.91066419,19643,11869,67047657995.200000
2636a705a31bad5e8a77998c66f6fb7d,20,13303.500000,609.601811366,14442,12424,7229456734.400000
7bdc4fed524e7be999dcd7a14326b2d0,20,11720.050000,1128.520991806,14070,10731,3090728140.800000
5661d40ecff5427dad69947f121f2d84,20,7466.800000,1263.065719005,9663,6367,6227525968.000000
47785fd3f4d674661ba35d6977db836c,20,6562.550000,419.480063512,7690,5929,7228703192.000000
71a50232609bef034d681708bd69a97a,20,6066.650000,729.794727808,7375,5497,3090728796.800000
d6e705327f09970c87ebc2ef3bf14445,20,4450.550000,800.830981248,5948,3704,6228252334.400000
7cda999feb43e7705006803f9a6f7c84,20,3384.550000,338.405623164,4084,2932,7228292740.800000
13dc75026a9b3de093e6d6ddabd79db3,20,3293.150000,647.463575484,5547,2852,3090729060.800000
552fc16887c3064c9d13c9fe4a2cabab,20,2916.900000,694.962770681,4212,2360,6228615193.600000
7d0f79b89524be9a72424b95cafbe22f,20,2006.600000,524.024748311,2976,1540,6228568774.400000
3257f0c79880842473fe292d27662df0,20,1783.550000,292.1022667,2499,1540,3090728884.800000
50233327f792120dca94c8e5d6e937ce,20,1379.000000,158.414512893,1704,1253,616876288.000000
8b16365bfa5c621a1cc9be5bc3d59810,20,1166.000000,624.723012306,2544,729,632848627.200000
2855f630fb7c40615d2a6d10078bd4d3,20,1054.700000,1695.579891489,7219,165,40304640.000000
fbf057675a1e284a20d9d86b230329aa,20,1028.100000,805.355161927,3128,496,632848627.200000
4339d037e3675da68e701089dda23331,20,987.900000,532.613407741,2061,599,633216512.000000
445fe9ac6a139c116203f6b918538b0e,20,980.950000,166.50161213,1347,834,617014041.600000
ef4f203d87704cd7a51c140c6ff010e1,20,947.550000,987.32352054,2535,159,40304640.000000
060c9314e5b4d8a3fa58da28af991810,20,947.400000,255.653630811,1633,769,405053440.000000
01d22e3bd48f98b9bd5b03742443e030,20,920.500000,564.589231212,1963,532,632848627.200000
2ac7aa5cd494bd4ece18b69f783a0a83,20,874.550000,1050.496147191,3637,269,57963385.600000
8c653fd64f2e288632b5b35ebe67987a,20,865.800000,970.985424575,2434,159,40304640.000000
42822b83d52a4be7dab9ef53c2baa535,20,837.200000,830.760311243,2488,311,57963385.600000
46ee97ba2b7340ebbe80e1bca4e91a91,20,791.150000,889.59720483,2336,206,40304640.000000
7ccd3c620d63b83f5fd9df2c1f852821,20,770.100000,822.667989564,2459,260,57963385.600000
a193363576fdeb948131e5891827ec0c,20,724.850000,385.460391166,2083,478,405053616.000000
0cba956924300c3717db5c3584127da0,20,696.600000,168.524057318,1094,553,616876288.000000
f6ffcd14102204d737c0ffcd8c67ba30,20,628.300000,557.166619697,2194,316,57963385.600000
e650f557e9bf84f435ec10769a1e3eec,20,586.400000,177.046054074,1090,449,616876288.000000
5c898895ab4278436fc45f641f8d4af2,20,531.900000,519.573904373,1833,291,56218224.000000
6f1d3a68b6b01fb8aeb3686d5f57850f,20,526.350000,380.540927323,1908,306,405053440.000000
3a5d617bd7925952b5bdc7567b4c16c8,20,485.850000,433.782297448,1964,237,405053440.000000
8eafb29e8ad5dc9e78d5358de61ab62c,20,444.600000,266.178096295,1521,318,56218224.000000
1f5c15932cd40afd30f8fbf0efd6df93,20,369.500000,399.378530377,2058,235,56253449.600000
95db8751cfbcb1062331dbbcfb9737ac,20,289.900000,51.004540563,403,234,56218224.000000
